ip_addr,damage,security,host
192.168.5.89 ,0,2,infected
192.168.5.99,0,0,pc
192.168.2.99 ,0,0,pc
192.168.5.253 ,0,0,GW
192.168.2.193,0,0,cent
192.168.2.194 ,0,1,filesv
192.168.2.195,1,0,proctl
192.168.2.253,0,0,GW
192.168.10.5 ,3,0,OPC
192.168.10.199,2,2,pc
192.168.10.200,3,0,EW
192.168.10.201,1,1,filesv
192.168.11.5 ,2,0,OPC
192.168.110.10 ,3,0,PLC
